pipelines,time_spent_log10_median_count,time_spent_log10_median_mean,time_spent_log10_median_std,time_spent_log10_median_min,time_spent_log10_median_25%,time_spent_log10_median_50%,time_spent_log10_median_75%,time_spent_log10_median_max,rank,tie,wins
adaboost + extra_trees_preproc_for_classification,206.0,1.8054614913108207,1.1361298246767175,0.8286413831460477,1.0315397036673106,1.3422905914593706,2.0964174704903202,6.238756302202346,43.62135922330097,0.0,0.0
adaboost + fast_ica,197.0,2.6565685165472703,1.528141900856341,0.748403047808265,1.3471891568277177,2.1747262823013473,3.6889515760640044,6.188104496376793,16.253807106598984,0.0,3.0
adaboost + feature_agglomeration,209.0,1.951699881653835,1.3204104349804886,0.7020952679216396,0.9705512359377191,1.4822298074968963,2.514756733724372,6.17879301630118,48.421052631578945,0.0,0.0
adaboost + liblinear_svc_preprocessor,198.0,1.9204500615118927,1.1559229429400053,0.7697927922883299,1.1452746353608587,1.4657116608531384,2.3593976318329304,6.34628237802444,33.23737373737374,0.0,0.0
adaboost + no_preprocessing,200.0,1.7424876703103838,1.1937820907273955,0.7718013505964525,1.0195237665141295,1.217639033421793,1.7807865591374035,6.202917922357548,43.27,0.0,0.0
adaboost + pca,205.0,2.0240545213966237,1.2050609971954755,0.7290076975038954,1.112301226610164,1.525046969611378,2.5913231676109376,6.244408553219927,35.11219512195122,0.0,0.0
adaboost + polynomial,171.0,2.704587694334315,1.6701248324319078,0.6690439153679208,1.1043291442123602,2.0290397023150106,4.364739508926149,6.171908889614675,20.935672514619885,0.0,25.0
adaboost + random_trees_embedding,208.0,2.102576195386852,1.0574760210783245,0.8828016630893463,1.4053680945049705,1.759345454502153,2.313972088560239,5.784459415438603,27.83173076923077,0.0,7.0
adaboost + select_percentile_classification,200.0,1.586572723999527,0.9715905543532395,0.6448468507045926,1.0303802879788613,1.2207442222439364,1.6557902467348382,6.1273263375302545,55.23,0.0,0.0
adaboost + select_rates_classification,197.0,2.092500523971812,1.2628990521216779,0.7369559865486159,1.178691505727596,1.6740498245545292,2.462277911939162,6.113730154858253,28.751269035532996,0.0,3.0
bernoulli_nb + extra_trees_preproc_for_classification,210.0,1.3200537445865697,0.8765386322832254,0.8521561925439772,0.8922063644764717,0.9826314965001857,1.2593156721762844,6.05350720243292,71.72857142857143,0.0,0.0
bernoulli_nb + fast_ica,191.0,1.4933974786138668,1.264313803359664,0.7476423514705721,0.7908284114085045,0.8487275008262765,1.520936568948514,6.353886024488661,75.93193717277487,0.0,3.0
bernoulli_nb + feature_agglomeration,210.0,1.15382168574722,0.8943837465615467,0.7209479733037203,0.7562825601606789,0.783265044023808,0.9084030443536317,5.788591087443455,112.58571428571429,0.0,0.0
bernoulli_nb + kitchen_sinks,206.0,1.2048421364952775,0.7588826347733331,0.7453413722538483,0.8055039545766547,0.8796350692027042,1.1776056845494773,5.013054213260078,86.12135922330097,0.0,0.0
bernoulli_nb + liblinear_svc_preprocessor,25.0,1.1040291816410022,0.6167983404262583,0.6489437352324063,0.6795399547712255,0.7261180072658171,1.3965059445595611,3.0315940443164804,109.76,0.0,0.0
bernoulli_nb + no_preprocessing,210.0,1.1270238586282095,0.75901177357489,0.733508634668435,0.7700171386699327,0.815798716992955,1.0325488516123174,5.7676911225515965,105.22380952380952,0.0,0.0
bernoulli_nb + nystroem_sampler,207.0,1.6788905282356383,0.9520077629309744,0.7441398500613239,0.852746929038295,1.568098368154196,2.098125969849025,6.374078616179687,60.39613526570049,0.0,0.0
bernoulli_nb + pca,209.0,1.1238412575211285,0.895944022224282,0.688040281364583,0.7327388611931192,0.76976910882267,0.9315433235557877,6.040992415252111,120.73684210526316,0.0,1.0
bernoulli_nb + polynomial,182.0,1.0301631911724622,0.47225406437289524,0.6978620912787175,0.7511414407264612,0.820101702463264,1.1078946354282726,2.9309500038165526,102.31318681318682,0.0,0.0
bernoulli_nb + random_trees_embedding,206.0,1.1272343563196507,0.5512658456509334,0.803368830101026,0.8455157975702356,0.918771177818201,1.1437398375729375,5.738017662964735,84.16019417475728,0.0,0.0
bernoulli_nb + select_percentile_classification,207.0,1.284187186486825,0.9136968698933441,0.7328322299714064,0.7931379816626934,0.8801187945859377,1.2406622780890553,5.831238303561263,87.39613526570048,0.0,0.0
bernoulli_nb + select_rates_classification,210.0,1.1357392107020408,0.7073278697654012,0.7213484551589224,0.7700166617233827,0.8331552275582759,1.0190233652123302,5.743908973702958,103.78095238095239,0.0,0.0
decision_tree + extra_trees_preproc_for_classification,210.0,1.335825057383107,0.8860258775404533,0.8373859793848754,0.8744492309277007,0.9775924106187185,1.3006572699530077,6.004409880670548,72.36666666666666,0.0,0.0
decision_tree + fast_ica,202.0,1.5115858340402482,1.2023112403397473,0.7010137497049362,0.7872262779327583,0.9610452673111752,1.550413403247321,6.319598554620896,75.45049504950495,0.0,0.0
decision_tree + feature_agglomeration,209.0,1.2373740433239842,0.9411649525595838,0.7287435734127228,0.7921756142678515,0.836417934754754,1.0185203310035613,6.052847043536358,95.37320574162679,0.0,0.0
decision_tree + liblinear_svc_preprocessor,129.0,1.466259532922577,1.2163733101234173,0.7354701923399602,0.8013312758480301,0.9188608201052209,1.3001826077178293,6.232759143027754,74.17054263565892,0.0,0.0
decision_tree + no_preprocessing,210.0,1.1144570133664586,0.8530237094319031,0.6979345233482881,0.7410388858951358,0.7784383816694455,0.9865091151365151,5.834981660350322,121.07142857142857,0.0,0.0
decision_tree + pca,211.0,1.1569953317923405,0.8656213593348955,0.7108154821882622,0.7682823145424683,0.8028833568658592,0.9874809953840751,5.81132397024264,108.87203791469194,0.0,0.0
decision_tree + polynomial,184.0,1.2027425708991843,0.7428959466548986,0.696518503955878,0.7583399411832017,0.8591316533142115,1.272873631835667,4.792793061883257,91.1304347826087,0.0,0.0
decision_tree + random_trees_embedding,209.0,1.1844219869340868,0.6815868170444402,0.7833026208260132,0.8294107792492145,0.897738769912574,1.0955409466065336,4.869723906061996,84.88038277511961,0.0,0.0
decision_tree + select_percentile_classification,200.0,1.1358819046565884,0.8149441275748402,0.6788507334407949,0.7335927640094584,0.7853848460706581,1.0146070726602394,6.354129337703569,110.97,0.0,1.0
decision_tree + select_rates_classification,125.0,1.1173644399538722,0.6505985137551213,0.7555492682091434,0.794999340726328,0.828652107702092,0.9941853160005201,3.8770555982040547,93.016,0.0,0.0
extra_trees + extra_trees_preproc_for_classification,210.0,1.9106114139317474,1.1139353433319268,1.160432896196629,1.2098018261498933,1.4632193465519487,2.235261142687952,6.3248238068718585,34.12380952380953,0.0,0.0
extra_trees + fast_ica,190.0,1.9796588240261312,1.1799520849527336,1.1029460574923453,1.1857898500713726,1.465236703663509,2.2643067000541857,6.133168910027793,28.142105263157895,0.0,0.0
extra_trees + feature_agglomeration,202.0,1.696852716009553,0.8743073857011575,1.1451643081451819,1.1947117529807096,1.333951378508163,1.7385487076677943,6.237676634639222,40.06435643564357,0.0,0.0
extra_trees + liblinear_svc_preprocessor,74.0,1.886995212687009,1.2242822484575442,1.0948737795578722,1.1393134562526648,1.2883838916550765,2.014784414207007,6.126926328012477,34.513513513513516,0.0,0.0
extra_trees + no_preprocessing,211.0,1.91689138716451,1.0946159645445008,1.0884176715662361,1.1428816545566598,1.4952849709627918,2.2966783294279645,6.258752121142423,37.34123222748815,0.0,1.0
extra_trees + pca,209.0,1.841554174272634,1.0634855082890617,1.0826898919603085,1.1437551495609761,1.4292553392670304,2.1547355195172324,6.222221765330931,39.55502392344498,0.0,0.0
extra_trees + polynomial,184.0,2.2638666543600663,1.1769420546866654,1.0682346747964304,1.2943053979599173,1.8975358614293982,2.893480200743438,6.125990962902081,16.690217391304348,0.0,0.0
extra_trees + random_trees_embedding,206.0,2.3386790168980887,1.2768088298383145,1.1607473638604224,1.3411798700799413,1.7935188981230137,3.0519202760087305,6.2721470781457525,22.053398058252426,0.0,1.0
extra_trees + select_percentile_classification,209.0,1.643994181556534,0.8420887506737356,1.0968227685138696,1.1550351992480028,1.3096167641911411,1.685108184123576,6.380827210265408,48.516746411483254,0.0,0.0
extra_trees + select_rates_classification,208.0,1.955792014436126,1.2091404013182991,1.1067357466686856,1.173087338716687,1.4398458395899487,2.1293654987532857,6.378272819766556,34.88942307692308,0.0,0.0
gaussian_nb + extra_trees_preproc_for_classification,209.0,1.2912935804615695,0.862878311877499,0.7832170354440446,0.8404893762576708,0.9176216476694892,1.220630297555863,5.266474508875117,79.25837320574162,0.0,0.0
gaussian_nb + fast_ica,204.0,1.4968529301198275,1.127722706887359,0.7182470480345926,0.7850035401258015,0.9635261958577305,1.4316650368858466,6.258946388048843,75.62745098039215,0.0,0.0
gaussian_nb + feature_agglomeration,153.0,1.0279257323992,0.7807733629467944,0.6703795427812267,0.7066715898086469,0.7320361917156923,0.8861127394630777,4.6192338210345705,124.66013071895425,0.0,0.0
gaussian_nb + liblinear_svc_preprocessor,200.0,1.3215518439126825,0.9767106572515657,0.731841879534306,0.7892123702924377,0.8836828370152809,1.3759833093457745,5.756306856705514,84.965,0.0,0.0
gaussian_nb + no_preprocessing,210.0,1.0676291752009746,0.7044509900604555,0.7174528834100478,0.7537390074499084,0.7967867784035793,0.9482399689925092,5.856425335434965,117.70952380952382,0.0,0.0
gaussian_nb + pca,208.0,1.0342612505017947,0.6814656779928653,0.6832561453929984,0.7189025111652295,0.7457017364367419,0.9106515072748926,4.874086227030789,127.83173076923077,0.0,0.0
gaussian_nb + polynomial,181.0,0.9996816454254668,0.4980503827038592,0.7587113056187612,0.7839700784407626,0.8145951761845629,0.9011703461442919,3.7647745315441026,97.13259668508287,0.0,0.0
gaussian_nb + select_percentile_classification,208.0,0.9027718377051913,0.4515464257131175,0.6405004809425654,0.6771247213801752,0.7225755399569938,0.8591861100110881,3.156059003118325,134.38942307692307,0.0,0.0
gaussian_nb + select_rates_classification,199.0,0.9883089279813024,0.6392731863986073,0.6354945035640867,0.6718855454245687,0.728609103790812,0.9308937847652599,4.118216419062184,126.56281407035176,0.0,0.0
gradient_boosting + extra_trees_preproc_for_classification,209.0,1.8666423252490825,1.0587781796018711,0.9165336855894474,1.1147342257286665,1.4709831723363362,2.0999273952410342,6.333802145782925,39.21531100478469,0.0,0.0
gradient_boosting + fast_ica,185.0,2.1339120147825783,1.3175730399744345,0.8623703012033669,1.2196667750070214,1.6306377806596024,2.6661723386978324,6.380413457405223,26.475675675675674,0.0,9.0
gradient_boosting + feature_agglomeration,202.0,2.269705886739035,1.1915161288497689,0.8780516065533455,1.2434394994503506,1.9648566908321214,2.944501281361801,6.186003097389463,21.886138613861387,0.0,1.0
gradient_boosting + liblinear_svc_preprocessor,206.0,2.0113228276798334,1.2568048999492965,0.8378393280568677,1.060020372270067,1.5354796031565823,2.4859910738805695,6.254135775224226,34.36893203883495,0.0,0.0
gradient_boosting + no_preprocessing,200.0,2.099589514375171,1.4118271874902062,0.7890714666146752,0.9934360121954117,1.5261013431886674,2.5766384946133774,6.389997089514919,33.135,0.0,3.0
gradient_boosting + pca,208.0,1.5439488824612808,0.997855548117006,0.7440142168382764,0.8883622654509264,1.1113715560074708,1.809245216614878,6.031991565220235,59.80769230769231,0.0,0.0
gradient_boosting + polynomial,160.0,2.9840194686148345,1.5923802947852546,0.8080717112000073,1.5644839752599715,2.866631237101128,4.231264758433154,6.378963099694292,11.6375,0.0,37.0
gradient_boosting + select_percentile_classification,203.0,1.8795712371284827,1.3377574701000448,0.7518129730273828,0.9212223454412647,1.31271908652728,2.2834734281108835,6.298898103691372,46.083743842364534,0.0,2.0
gradient_boosting + select_rates_classification,208.0,1.6621088757998677,1.2636158078595252,0.7336591238917709,0.8559980580646954,1.0688049067570673,1.9033186326112685,6.365650079211274,64.11057692307692,0.0,1.0
k_nearest_neighbors + extra_trees_preproc_for_classification,207.0,1.380283350529264,1.017590322963274,0.8141105934919035,0.8684487005880447,0.9679080041994428,1.3643390135643496,5.670005574783772,71.1207729468599,0.0,0.0
k_nearest_neighbors + fast_ica,204.0,1.5126074280723354,1.1631606839745554,0.7465624754627971,0.8190627297419151,0.9607073262670893,1.7605278373824074,5.940773825310512,68.70588235294117,0.0,0.0
k_nearest_neighbors + feature_agglomeration,199.0,1.411686321702553,1.1665670199203722,0.6699144570062312,0.7649007072068048,0.8615823796419104,1.3333490086305806,5.898851014985926,88.36180904522612,0.0,0.0
k_nearest_neighbors + liblinear_svc_preprocessor,203.0,1.4145642152343056,1.1374448548921514,0.7192388208739839,0.7747792557325605,0.8864218351822835,1.559484658259294,6.3396279983510855,84.64532019704434,0.0,0.0
k_nearest_neighbors + no_preprocessing,207.0,1.4001280383480372,1.2014554784570433,0.7037449737507983,0.7527547021381562,0.8235462669868827,1.3753569103645087,6.309779506806119,98.01932367149759,0.0,0.0
k_nearest_neighbors + pca,208.0,1.1703172046084214,0.9073808473941669,0.7042609972252645,0.7477736725326138,0.789448920557869,1.0585647620059688,5.712049398674996,112.29326923076923,0.0,0.0
k_nearest_neighbors + polynomial,69.0,1.58934689160318,1.4552966221251855,0.6819408249850212,0.723394104458502,0.7868666762043759,2.112157829605433,6.211045336455648,95.72463768115942,0.0,0.0
k_nearest_neighbors + random_trees_embedding,203.0,1.7669970560910202,1.3707151398448976,0.7922309341941366,0.8690416826758669,1.238976891849449,1.8848614767503489,6.337068125152669,55.064039408866996,0.0,3.0
k_nearest_neighbors + select_percentile_classification,202.0,1.2272296584492646,1.0232897500373166,0.6842425056490333,0.7400168834299421,0.8036004132564285,1.039809190652926,6.301838468378753,108.12871287128714,0.0,1.0
k_nearest_neighbors + select_rates_classification,202.0,1.4263218944602212,1.172585508954485,0.6908197680209444,0.7567366752048565,0.8526155633088609,1.5557105264006756,5.836782606893941,88.41584158415841,0.0,0.0
lda + extra_trees_preproc_for_classification,210.0,1.3352434673754021,0.8637250949781109,0.8328705801629852,0.8876087640812859,0.9671350617539327,1.3216755752085898,5.809603488697614,71.76666666666667,0.0,0.0
lda + fast_ica,196.0,1.587254066963418,1.2787209754320474,0.7355477240294237,0.8269356362557683,1.0304769684326254,1.4557619417290417,5.804659736656459,62.59183673469388,0.0,1.0
lda + feature_agglomeration,210.0,1.1523102196510986,0.9068284662974733,0.6826594128581724,0.7272432524824914,0.7814495301611508,0.9743572149398722,5.724061563777537,117.04761904761905,0.0,0.0
lda + kitchen_sinks,209.0,1.7321792995734022,0.8037858136112425,0.813610275579838,1.1592407427759928,1.6031001219416559,2.006774264422477,5.85839215214257,45.19138755980861,0.0,0.0
lda + liblinear_svc_preprocessor,204.0,1.288869825544361,1.0460564853672094,0.6612985894232246,0.7178895481905017,0.8107829592771745,1.2852896464687578,6.058263324311348,108.6470588235294,0.0,0.0
lda + no_preprocessing,209.0,1.284622121945822,0.9447378997950485,0.6919776964024651,0.7866510427264455,0.8496856029842226,1.1176180294797144,5.7703405181717145,93.8468899521531,0.0,0.0
lda + nystroem_sampler,205.0,2.0258945946367257,1.2937547931744244,0.7526151834587629,0.904997736109483,1.8343633126271675,2.4559218161030207,5.981378637545214,44.21951219512195,0.0,2.0
lda + pca,207.0,1.1098976429349032,0.6883704200001607,0.7434413962241311,0.7878924760293189,0.8182903804623591,0.9753547788092624,4.909889070933459,100.28985507246377,0.0,0.0
lda + polynomial,58.0,1.911943081658867,1.552553460026671,0.7525579652213331,0.8936024858419335,1.1888687622852905,2.2254919615861204,6.270262731553961,51.56896551724138,0.0,9.0
lda + select_percentile_classification,204.0,1.2600583218489796,0.8655170089325682,0.7367966383259524,0.785030680811697,0.8630060901965734,1.179018556010971,5.914478788583459,89.2843137254902,0.0,0.0
lda + select_rates_classification,210.0,1.07338758979707,0.781235329817643,0.6670417503187236,0.7240646949695954,0.7697174680359427,0.9591816544168749,5.747295795722643,124.33333333333333,0.0,0.0
liblinear_svc + extra_trees_preproc_for_classification,207.0,1.4720925224229557,1.0689422547170961,0.7800748895474092,0.8493584795677811,1.0132067848760542,1.4366642849665765,6.202735579590099,67.98550724637681,0.0,0.0
liblinear_svc + fast_ica,185.0,1.3804684765018318,1.1846142657868597,0.7260498592807464,0.7777161168789098,0.8726151119073879,1.1896403751950753,6.000114788220261,80.21081081081081,0.0,3.0
liblinear_svc + feature_agglomeration,71.0,1.114408407767283,0.7653453799889534,0.6962023232749543,0.7997411586926785,0.831201789756326,1.0454944991373254,5.418578357287002,99.97183098591549,0.0,0.0
liblinear_svc + kitchen_sinks,206.0,1.7124067452108587,1.1159544081760178,0.7499639942644512,0.886302961581293,1.311509259244626,2.1529737821777206,5.779285099031952,56.68446601941748,0.0,0.0
liblinear_svc + liblinear_svc_preprocessor,49.0,1.6002012582639527,1.3308216060987381,0.7526525303438982,0.7991439210002702,0.8723161889561873,1.6841031833031415,5.888423735325844,83.06122448979592,0.0,0.0
liblinear_svc + nystroem_sampler,137.0,2.3701736541184175,1.6327473187496588,0.7095146064559598,0.883453875703459,1.7910131049905247,3.674366671969506,6.282451826151257,39.48905109489051,0.0,18.0
liblinear_svc + pca,158.0,1.0556738227433882,0.6819550124029998,0.7278627312522588,0.7615509029344291,0.7894275656815282,0.9118757473297956,4.989116251005338,110.78481012658227,0.0,0.0
liblinear_svc + polynomial,179.0,1.3743320441890856,0.953694450456133,0.7228213956611885,0.7729956869160509,0.9633493156419113,1.5662061985868387,5.228463215259737,74.68156424581005,0.0,0.0
liblinear_svc + random_trees_embedding,205.0,1.1521010905323952,0.7438681117073838,0.7309698872663521,0.7971328938202358,0.8517710576062569,1.0806704615912521,5.861412258141154,95.60975609756098,0.0,0.0
liblinear_svc + select_percentile_classification,72.0,1.0242669440826313,0.541092520141859,0.686972587188617,0.7397305723978816,0.7813389970109268,1.0116060928151096,3.178825446974347,119.30555555555556,0.0,0.0
libsvm_svc + fast_ica,191.0,2.0496791282019116,1.4337170629948368,0.766657474878264,0.9291261501838051,1.4856550440149192,2.6564735262234556,6.1569990861628074,35.3717277486911,0.0,0.0
libsvm_svc + feature_agglomeration,202.0,1.8312046163186302,1.4431920265592215,0.7529930193177488,0.8269313511216372,1.1467818645941936,2.2285750005138802,6.086487645565709,57.44059405940594,0.0,0.0
libsvm_svc + liblinear_svc_preprocessor,200.0,1.6484230541669709,1.3761753915163588,0.6906300620792762,0.7667140273432298,1.0236259316837413,1.9702318374224805,6.372285379810749,78.605,0.0,1.0
libsvm_svc + no_preprocessing,201.0,1.6602975788149368,1.3449673358859116,0.7155953428583219,0.7783249725170913,1.099507078319615,1.9869586678840396,6.2864578644948645,72.83582089552239,0.0,6.0
libsvm_svc + pca,203.0,1.649814628126105,1.3971219987863726,0.7280820068307746,0.7677703275537398,1.036612164442683,1.8159534207162316,6.293426591972835,79.50246305418719,0.0,2.0
libsvm_svc + polynomial,169.0,2.1488636266429464,1.5327716084655691,0.7504128201479234,0.8873735006889545,1.6041692859879948,3.0982892792282337,6.306559430767614,33.52662721893491,0.0,7.0
