pipelines,time_spent_log10_median_count,time_spent_log10_median_mean,time_spent_log10_median_std,time_spent_log10_median_min,time_spent_log10_median_25%,time_spent_log10_median_50%,time_spent_log10_median_75%,time_spent_log10_median_max,rank,tie,wins
adaboost + fast_ica,197.0,2.6565685165472703,1.528141900856341,0.748403047808265,1.3471891568277177,2.1747262823013473,3.6889515760640044,6.188104496376793,16.253807106598984,0.0,3.0
adaboost + polynomial,171.0,2.704587694334315,1.6701248324319078,0.6690439153679208,1.1043291442123602,2.0290397023150106,4.364739508926149,6.171908889614675,20.935672514619885,0.0,25.0
bernoulli_nb + liblinear_svc_preprocessor,25.0,1.1040291816410022,0.6167983404262583,0.6489437352324063,0.6795399547712255,0.7261180072658171,1.3965059445595611,3.0315940443164804,109.76,0.0,0.0
bernoulli_nb + pca,209.0,1.1238412575211285,0.895944022224282,0.688040281364583,0.7327388611931192,0.76976910882267,0.9315433235557877,6.040992415252111,120.73684210526316,0.0,1.0
decision_tree + no_preprocessing,210.0,1.1144570133664582,0.8530237094319031,0.6979345233482881,0.7410388858951358,0.7784383816694455,0.9865091151365151,5.834981660350322,121.07142857142857,0.0,0.0
gaussian_nb + feature_agglomeration,153.0,1.0279257323992,0.7807733629467944,0.6703795427812267,0.7066715898086469,0.7320361917156923,0.8861127394630777,4.6192338210345705,124.66013071895425,0.0,0.0
gaussian_nb + pca,208.0,1.0342612505017947,0.6814656779928653,0.6832561453929984,0.7189025111652295,0.7457017364367419,0.9106515072748926,4.874086227030789,127.83173076923077,0.0,0.0
gaussian_nb + select_percentile_classification,208.0,0.9027718377051913,0.4515464257131175,0.6405004809425654,0.6771247213801752,0.7225755399569938,0.8591861100110881,3.156059003118325,134.38942307692307,0.0,0.0
gaussian_nb + select_rates_classification,199.0,0.9883089279813024,0.6392731863986073,0.6354945035640867,0.6718855454245687,0.728609103790812,0.9308937847652599,4.118216419062184,126.56281407035176,0.0,0.0
gradient_boosting + polynomial,160.0,2.9840194686148345,1.5923802947852546,0.8080717112000073,1.5644839752599715,2.866631237101128,4.231264758433154,6.378963099694292,11.6375,0.0,37.0
lda + select_rates_classification,210.0,1.07338758979707,0.781235329817643,0.6670417503187236,0.7240646949695954,0.7697174680359427,0.9591816544168749,5.747295795722643,124.33333333333333,0.0,0.0
liblinear_svc + select_percentile_classification,72.0,1.0242669440826313,0.541092520141859,0.686972587188617,0.7397305723978816,0.7813389970109268,1.0116060928151096,3.178825446974347,119.30555555555556,0.0,0.0
mlp + polynomial,183.0,2.5134445474021962,1.1026026943723992,0.89412744009566,1.7294801053877142,2.3199355682413776,2.937644681081731,6.121562013431866,11.278688524590164,0.0,15.0
mlp + random_trees_embedding,153.0,2.606013155409188,1.0680062335218985,1.0596444616880794,1.7396794646717624,2.561871819400436,3.2084854380372345,6.00874734375191,14.549019607843137,0.0,9.0
passive_aggressive + no_preprocessing,162.0,1.0663546915457367,0.7412792052684974,0.6821531239027046,0.7317447977840952,0.7751582033085412,0.9511111145775899,5.708400304917682,117.32716049382717,0.0,0.0
random_forest + fast_ica,24.0,2.7406069116886393,1.4618971201384425,1.1824667318988178,1.4174735263836338,2.301478756331818,3.853503724834865,6.0071769413017995,6.041666666666667,0.0,0.0
random_forest + pca,197.0,2.4103639700907173,1.18490002275658,1.1390740916129123,1.3655055327161278,2.126987531065896,3.087169583702603,6.048682285837478,14.756345177664974,0.0,1.0
random_forest + polynomial,155.0,2.831059540624917,1.2674530482977389,1.1437170332179882,1.7060470421560205,2.6981568214601253,3.7303705592682315,5.991207621148546,6.335483870967742,0.0,0.0
random_forest + random_trees_embedding,191.0,2.342819862573603,1.0580473485656945,1.2383538235343101,1.5086138110499396,2.0350066116841408,2.830848525374173,6.351843011175784,16.18324607329843,0.0,9.0
random_forest + select_rates_classification,183.0,2.5313363218031815,1.383853433265942,1.1253860552680988,1.3275833732646913,2.147278811557481,3.3933988116788907,6.3729015305780425,14.890710382513662,0.0,6.0
